PRUID,Province/territory_EN,HRUID,Health region,Number of active cases
48,Alberta,4832,Calgary Zone,
48,Alberta,4833,Central Zone,
48,Alberta,4834,Edmonton Zone,
48,Alberta,4835,North Zone,
48,Alberta,4831,South Zone,
59,British Columbia,5920,Fraser Health Authority,
59,British Columbia,5910,Interior Health Authority,
59,British Columbia,5940,Island Health Authority,
59,British Columbia,5950,Northern Health Authority,
59,British Columbia,5930,Vancouver Coastal Health Authority,
46,Manitoba,4603,Interlake-Eastern Health Region,
46,Manitoba,4604,Northern Health Region,
46,Manitoba,4602,Prairie Mountain Health Region,
46,Manitoba,4605,Southern Health Region,1-4
46,Manitoba,4601,Winnipeg-Churchill Health Region,
13,New Brunswick,1301,Zone 1 (Moncton area) ,
13,New Brunswick,1302,Zone 2 (Saint John area) ,
13,New Brunswick,1303,Zone 3 (Fredericton area) ,
13,New Brunswick,1304,Zone 4 (Edmundston area) ,
13,New Brunswick,1305,Zone 5 (Campbellton area) ,
13,New Brunswick,1306,Zone 6 (Bathurst area) ,
13,New Brunswick,1307,Zone 7 (Miramichi area),
10,Newfoundland and Labrador,1022,Central Zone,
10,Newfoundland and Labrador,1021,Eastern Rural Zone,
10,Newfoundland and Labrador,1020,Eastern Urban Zone,
10,Newfoundland and Labrador,1024,Labrador-Grenfell Zone,
10,Newfoundland and Labrador,1023,Western Zone ,
61,Northwest Territories,6101,Northwest Territories,
12,Nova Scotia,1201,Zone 1 - Western,
12,Nova Scotia,1202,Zone 2 - Northern,
12,Nova Scotia,1203,Zone 3 - Eastern,
12,Nova Scotia,1204,Zone 3 - Central,
62,Nunavut,6201,Nunavut,
35,Ontario,3526,The District of Algoma Health Unit,
35,Ontario,3540,Chatham-Kent Health Unit,
35,Ontario,3530,Durham Regional Health Unit,
35,Ontario,3558,The Eastern Ontario Health Unit,
35,Ontario,3527,Grand Erie Health Unit,
35,Ontario,3533,Grey Bruce Health Unit,
35,Ontario,3535,Haliburton Kawartha Northumberland Peterborough Health Unit,
35,Ontario,3536,Halton Regional Health Unit,1-4
35,Ontario,3537,City of Hamilton Health Unit,
35,Ontario,3550,Huron Perth District Health Unit,
35,Ontario,3542,Lambton Public Health,
35,Ontario,3544,Middlesex-London Health Unit,
35,Ontario,3546,Niagara Regional Area Health Unit,
35,Ontario,3547,North Bay Parry Sound District Health Unit,
35,Ontario,3556,Northeastern Public Health,
35,Ontario,3549,Northwestern Health Unit,
35,Ontario,3551,City of Ottawa Health Unit,
35,Ontario,3553,Peel Regional Health Unit,
35,Ontario,3565,Waterloo Health Unit,
35,Ontario,3557,Renfrew County and District Health Unit,
35,Ontario,3560,Simcoe Muskoka District Health Unit,
35,Ontario,3538,South East Health Unit,
35,Ontario,3575,Southwestern Health Unit,
35,Ontario,3561,Sudbury and District Health Unit,
35,Ontario,3562,Thunder Bay District Health Unit,
35,Ontario,3595,City of Toronto Health Unit,1-4
35,Ontario,3566,Wellington-Dufferin-Guelph Health Unit,
35,Ontario,3568,Windsor-Essex County Health Unit,
35,Ontario,3570,York Regional Health Unit,
11,Prince Edward Island,1100,Prince Edward Island,
24,Quebec,2408,Région de l'Abitibi-Témiscamingue,
24,Quebec,2401,Région du Bas-Saint-Laurent,
24,Quebec,2403,Région de la Capitale-Nationale,
24,Quebec,2412,Région de la Chaudière-Appalaches,
24,Quebec,2409,Région de la Côte-Nord,
24,Quebec,2405,Région de l'Estrie,
24,Quebec,2411,Région de la Gaspésie–Îles-de-la-Madeleine,
24,Quebec,2414,Région de Lanaudière,
24,Quebec,2415,Région des Laurentides,
24,Quebec,2413,Région de Laval,
24,Quebec,2404,Région de la Mauricie et du Centre-du-Québec,
24,Quebec,2416,Région de la Montérégie,
24,Quebec,2406,Région de Montréal,
24,Quebec,2410,Région du Nord-du-Québec,
24,Quebec,2417,Région du Nunavik,
24,Quebec,2407,Région de l'Outaouais,
24,Quebec,2402,Région du Saguenay–Lac-Saint-Jean,
24,Quebec,2418,Région des Terres-Cries-de-la-Baie-James,
47,Saskatchewan,4721,Far North Zone,
47,Saskatchewan,4723,North Central East Zone,
47,Saskatchewan,4722,North Central West Zone,
47,Saskatchewan,4727,Regina Zone,
47,Saskatchewan,4724,Saskatoon Zone,
47,Saskatchewan,4726,South East Zone,
47,Saskatchewan,4725,South West Zone,
60,Yukon,6001,Yukon,
