Epidemiological week of rash onset,48: Alberta,59: British Columbia,46: Manitoba,13: New Brunswick,10: Newfoundland and Labrador,61: Northwest Territories,12: Nova Scotia,62: Nunavut,35: Ontario,11: Prince Edward Island,24: Quebec,47: Saskatchewan,60: Yukon,01: Canada
1,24,8,11,0,0,0,0,0,0,0,0,2,0,45
2,12,2,16,0,0,0,0,0,0,0,1,0,0,31
3,7,3,33,0,0,0,1,0,0,0,2,0,0,46
4,8,2,32,0,0,0,3,0,1,0,0,0,0,46
5,15,0,70,0,0,0,3,0,0,0,0,2,0,90
6,12,2,60,0,0,0,3,0,0,0,0,1,0,78
7,30,1,54,0,0,0,0,0,3,0,0,0,0,88
8,37,0,28,0,0,0,0,0,2,0,0,0,0,67
9,44,1,40,0,0,0,0,0,1,0,0,0,0,86
10,34,0,40,0,0,0,0,0,3,0,1,0,0,78
11,15,0,44,0,0,0,0,0,2,0,1,0,0,62
12,20,2,41,0,0,0,0,0,3,0,2,0,0,68
13,16,2,43,0,0,0,0,0,8,0,0,0,0,69
14,10,0,37,0,0,0,0,0,0,0,2,0,0,49
15,9,4,20,0,0,0,0,0,0,0,0,0,0,33
16,4,1,31,0,0,0,0,0,0,0,2,0,0,38
17,2,2,24,0,0,0,0,0,1,0,3,0,0,32
18,4,0,18,0,0,0,0,0,0,0,3,0,0,25
19,4,1,17,0,0,0,0,0,2,0,1,0,0,25
20,3,0,6,0,0,0,0,0,1,0,1,0,0,11
21,0,0,4,0,0,0,0,0,0,0,0,0,0,4
22,1,0,1,0,0,0,0,0,0,0,1,0,0,3
23,0,1,1,0,0,0,0,0,0,0,0,0,0,2
24,0,0,2,0,0,0,0,0,1,0,5,0,0,8
25,0,5,2,0,0,0,0,0,1,0,5,0,0,13
26,0,0,1,0,0,0,0,0,0,0,1,0,0,2
27,0,7,2,1,0,0,0,0,0,0,0,0,0,10
28,0,1,0,0,0,0,0,0,0,0,0,0,0,1
29,0,4,0,0,0,0,0,0,1,0,0,0,0,5
30,0,0,1,0,0,0,0,0,0,0,0,0,0,1
31,0,0,1,0,0,0,0,0,0,0,0,0,0,1
32,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33,0,0,0,0,0,0,0,0,1,0,0,0,0,1
34,0,0,0,0,0,0,0,0,1,0,0,0,0,1
35,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36,0,0,0,0,0,0,0,0,1,0,0,0,0,1
37,,,,,,,,,,,,,,0
38,,,,,,,,,,,,,,0
39,,,,,,,,,,,,,,0
40,,,,,,,,,,,,,,0
41,,,,,,,,,,,,,,0
42,,,,,,,,,,,,,,0
43,,,,,,,,,,,,,,0
44,,,,,,,,,,,,,,0
45,,,,,,,,,,,,,,0
46,,,,,,,,,,,,,,0
47,,,,,,,,,,,,,,0
48,,,,,,,,,,,,,,0
49,,,,,,,,,,,,,,0
50,,,,,,,,,,,,,,0
51,,,,,,,,,,,,,,0
52,,,,,,,,,,,,,,0
53,,,,,,,,,,,,,,0
TOTAL,311,49,680,1,0,0,10,0,33,0,31,5,0,1120
