outbreak_id,outbreak_type,date_start,date_end,outbreak_string,province,province_fr,province_url,province_url_fr,total_cases,confirmed_cases,probable_cases,last_rash_onset_year,last_rash_onset_week,description_en,description_fr
1,Multi,2024-10,2025-03-08,"Multijurisdictional outbreak (October 2024 - March 8, 2025)",Ontario,Ontario,https://www.publichealthontario.ca/-/media/Documents/M/24/measles-ontario-epi-summary.pdf?rev=da3ffec26cc0471f83ed9de3ca356e1c&sc_lang=en,https://www.publichealthontario.ca/-/media/Documents/M/24/measles-ontario-epi-summary.pdf?sc_lang=fr&rev=88a77512851742e4a5150be744c8b667&hash=AE1EED080CFE0CA16B06195ED42EDF8A,2390,2077,313,2026,13,The outbreak was declared over in the province in October 2025.[b],L'éclosion a été déclarée terminée dans la province en octobre 2025.[b]
1,Multi,2024-10,2025-03-08,"Multijurisdictional outbreak (October 2024 - March 8, 2025)",Alberta,Alberta,https://www.alberta.ca/measles,https://www.alberta.ca/measles,2299,2299,0,2026,22,The outbreak was declared over in the province in July 2026.,L'éclosion a été déclarée terminée dans la province en juillet 2026.
1,Multi,2024-10,2025-03-08,"Multijurisdictional outbreak (October 2024 - March 8, 2025)",Manitoba,Manitoba,https://www.gov.mb.ca/health/publichealth/diseases/measles.html,https://www.gov.mb.ca/health/publichealth/diseases/measles.fr.html,1033,926,107,2026,31,Recent cases[4] reported. ,Des cas récents[4] ont été signalés. 
1,Multi,2024-10,2025-03-08,"Multijurisdictional outbreak (October 2024 - March 8, 2025)",British Columbia,Colombie-Britannique,http://www.bccdc.ca/health-info/diseases-conditions/measles,http://www.bccdc.ca/health-info/diseases-conditions/measles#,427,397,30,2026,15,The outbreak was declared over in the province in June 2026.,L'éclosion a été déclarée terminée dans la province en juin 2026.
1,Multi,2024-10,2025-03-08,"Multijurisdictional outbreak (October 2024 - March 8, 2025)",New Brunswick,Nouveau-Brunswick,https://www2.gnb.ca/content/gnb/en/departments/ocmoh/cdc/content/measles.html,https://www2.gnb.ca/content/gnb/fr/ministeres/bmhc/maladies_transmissibles/content/rougeole.html,66,62,4,2025,29,The outbreak was declared over in the province in September 2025.,L'éclosion a été déclarée terminée dans la province en septembre 2025.
1,Multi,2024-10,2025-03-08,"Multijurisdictional outbreak (October 2024 - March 8, 2025)",Saskatchewan,Saskatchewan,https://www.saskatchewan.ca/residents/health/diseases-and-conditions/measles,https://www.saskatchewan.ca/residents/health/diseases-and-conditions/measles,125,,,2026,6,The outbreak was declared over in the province in March 2026.,L'éclosion a été déclarée terminée dans la province en mars 2026.
1,Multi,2024-10,2025-03-09,"Multijurisdictional outbreak (October 2024 - March 8, 2025)",Nova Scotia,Nouvelle-Écosse,https://www.nshealth.ca/public-health/infectious-diseases/measles,https://www.nshealth.ca/public-health/infectious-diseases/measles,72,59,13,2026,6,The outbreak was declared over in the province in March 2026.,L'éclosion a été déclarée terminée dans la province en mars 2026.
1,Multi,2024-10,2025-03-08,"Multijurisdictional outbreak (October 2024 - March 8, 2025)",Northwest Territories,Territoires du Nord-Ouest,https://www.hss.gov.nt.ca/en/newsroom/measles-exposure-yellowknife,https://www.hss.gov.nt.ca/fr/newsroom/exposition-%C3%A0-la-rougeole-%C3%A0-yellowknife,1,1,0,2025,18,No secondary cases reported in the territory. ,Aucun cas secondaire n'a été signalé dans le territoire. 
1,Multi,2024-10,2025-03-08,"Multijurisdictional outbreak (October 2024 - March 8, 2025)",Prince Edward Island,Île-du-Prince-Édouard,https://www.princeedwardisland.ca/en/news/measles-cases-on-pei,https://www.princeedwardisland.ca/fr/nouvelles/cas-rougeole-a-li-p-e,3,3,0,2025,26,No secondary cases reported in the province. ,Aucun cas secondaire n'a été signalé dans la province. 
1,Multi,2024-10,2025-03-08,"Multijurisdictional outbreak (October 2024 - March 8, 2025)",Quebec,Québec,https://www.quebec.ca/en/health/health-issues/a-z/measles/measles-outbreak,https://www.quebec.ca/sante/problemes-de-sante/a-z/rougeole/eclosion-de-rougeole,1,1,0,2025,6,No secondary cases reported in the province. ,Aucun cas secondaire n'a été signalé dans la province. 
