week,pruid,pt,cases
1,48,Alberta,24
1,59,British Columbia,8
1,46,Manitoba,11
1,13,New Brunswick,0
1,10,Newfoundland and Labrador,0
1,61,Northwest Territories,0
1,12,Nova Scotia,0
1,62,Nunavut,0
1,35,Ontario,0
1,11,Prince Edward Island,0
1,24,Quebec,0
1,47,Saskatchewan,2
1,60,Yukon,0
1,01,Canada,45
2,48,Alberta,12
2,59,British Columbia,2
2,46,Manitoba,16
2,13,New Brunswick,0
2,10,Newfoundland and Labrador,0
2,61,Northwest Territories,0
2,12,Nova Scotia,0
2,62,Nunavut,0
2,35,Ontario,0
2,11,Prince Edward Island,0
2,24,Quebec,1
2,47,Saskatchewan,0
2,60,Yukon,0
2,01,Canada,31
3,48,Alberta,7
3,59,British Columbia,3
3,46,Manitoba,33
3,13,New Brunswick,0
3,10,Newfoundland and Labrador,0
3,61,Northwest Territories,0
3,12,Nova Scotia,1
3,62,Nunavut,0
3,35,Ontario,0
3,11,Prince Edward Island,0
3,24,Quebec,2
3,47,Saskatchewan,0
3,60,Yukon,0
3,01,Canada,46
4,48,Alberta,8
4,59,British Columbia,2
4,46,Manitoba,32
4,13,New Brunswick,0
4,10,Newfoundland and Labrador,0
4,61,Northwest Territories,0
4,12,Nova Scotia,3
4,62,Nunavut,0
4,35,Ontario,1
4,11,Prince Edward Island,0
4,24,Quebec,0
4,47,Saskatchewan,0
4,60,Yukon,0
4,01,Canada,46
5,48,Alberta,15
5,59,British Columbia,0
5,46,Manitoba,70
5,13,New Brunswick,0
5,10,Newfoundland and Labrador,0
5,61,Northwest Territories,0
5,12,Nova Scotia,3
5,62,Nunavut,0
5,35,Ontario,0
5,11,Prince Edward Island,0
5,24,Quebec,0
5,47,Saskatchewan,2
5,60,Yukon,0
5,01,Canada,90
6,48,Alberta,12
6,59,British Columbia,2
6,46,Manitoba,60
6,13,New Brunswick,0
6,10,Newfoundland and Labrador,0
6,61,Northwest Territories,0
6,12,Nova Scotia,3
6,62,Nunavut,0
6,35,Ontario,0
6,11,Prince Edward Island,0
6,24,Quebec,0
6,47,Saskatchewan,1
6,60,Yukon,0
6,01,Canada,78
7,48,Alberta,30
7,59,British Columbia,1
7,46,Manitoba,54
7,13,New Brunswick,0
7,10,Newfoundland and Labrador,0
7,61,Northwest Territories,0
7,12,Nova Scotia,0
7,62,Nunavut,0
7,35,Ontario,3
7,11,Prince Edward Island,0
7,24,Quebec,0
7,47,Saskatchewan,0
7,60,Yukon,0
7,01,Canada,88
8,48,Alberta,37
8,59,British Columbia,0
8,46,Manitoba,28
8,13,New Brunswick,0
8,10,Newfoundland and Labrador,0
8,61,Northwest Territories,0
8,12,Nova Scotia,0
8,62,Nunavut,0
8,35,Ontario,2
8,11,Prince Edward Island,0
8,24,Quebec,0
8,47,Saskatchewan,0
8,60,Yukon,0
8,01,Canada,67
9,48,Alberta,44
9,59,British Columbia,1
9,46,Manitoba,40
9,13,New Brunswick,0
9,10,Newfoundland and Labrador,0
9,61,Northwest Territories,0
9,12,Nova Scotia,0
9,62,Nunavut,0
9,35,Ontario,1
9,11,Prince Edward Island,0
9,24,Quebec,0
9,47,Saskatchewan,0
9,60,Yukon,0
9,01,Canada,86
10,48,Alberta,34
10,59,British Columbia,0
10,46,Manitoba,40
10,13,New Brunswick,0
10,10,Newfoundland and Labrador,0
10,61,Northwest Territories,0
10,12,Nova Scotia,0
10,62,Nunavut,0
10,35,Ontario,3
10,11,Prince Edward Island,0
10,24,Quebec,1
10,47,Saskatchewan,0
10,60,Yukon,0
10,01,Canada,78
11,48,Alberta,15
11,59,British Columbia,0
11,46,Manitoba,44
11,13,New Brunswick,0
11,10,Newfoundland and Labrador,0
11,61,Northwest Territories,0
11,12,Nova Scotia,0
11,62,Nunavut,0
